Rate ($/kg),Protein Source,Protein (g per 100g),Calories (kcal per 100g)
15.72,Eggs,13,155
7.15,Whey Protein,80,400
18.88,Whey Protein,80,400
34.78,Beef,27,250
45.99,Salmon,25,208
16.55,Tofu,8,76
15.36,Eggs,13,155
8.41,Peanut Butter,25,588
15.34,Almonds,21,579
20.83,Whey Protein,80,400
20.17,Whey Protein,80,400
39.98,Lentils,9,116
42.49,Lentils,9,116
35.66,Beef,27,250
19.13,Lentils,9,116
33.6,Greek Yogurt,10,59
28.37,Greek Yogurt,10,59
16.63,Chicken Breast,31,165
29.88,Eggs,13,155
20.07,Beef,27,250
27.32,Tofu,8,76
41.43,Tofu,8,76
42.6,Whey Protein,80,400
18.21,Salmon,25,208
35.98,Almonds,21,579
46.7,Salmon,25,208
17.7,Salmon,25,208
41.18,Whey Protein,80,400
26.13,Beef,27,250
45.16,Beef,27,250
9.1,Whey Protein,80,400
31.27,Salmon,25,208
15.14,Whey Protein,80,400
46.48,Beef,27,250
30.14,Salmon,25,208
43.76,Peanut Butter,25,588
48.13,Tofu,8,76
6.27,Almonds,21,579
34.29,Tofu,8,76
39.46,Chicken Breast,31,165
7.75,Salmon,25,208
16.81,Almonds,21,579
14.28,Greek Yogurt,10,59
28.94,Lentils,9,116
16.32,Greek Yogurt,10,59
37.01,Chicken Breast,31,165
45.56,Almonds,21,579
33.81,Whey Protein,80,400
45.11,Almonds,21,579
35.31,Almonds,21,579
21.55,Greek Yogurt,10,59
49.52,Almonds,21,579
48.7,Almonds,21,579
29.34,Chicken Breast,31,165
30.81,Beef,27,250
15.05,Eggs,13,155
7.94,Tofu,8,76
8.16,Almonds,21,579
13.26,Whey Protein,80,400
21.21,Lentils,9,116
8.78,Lentils,9,116
25.06,Peanut Butter,25,588
18.94,Lentils,9,116
12.53,Eggs,13,155
25.31,Salmon,25,208
7.71,Greek Yogurt,10,59
15.49,Whey Protein,80,400
21.24,Whey Protein,80,400
35.65,Eggs,13,155
23.12,Lentils,9,116
41.76,Chicken Breast,31,165
33.03,Almonds,21,579
30.03,Salmon,25,208
22.41,Beef,27,250
23.04,Chicken Breast,31,165
20.52,Beef,27,250
49.91,Salmon,25,208
24.55,Whey Protein,80,400
47.84,Beef,27,250
45.39,Eggs,13,155
39.64,Peanut Butter,25,588
9.1,Salmon,25,208
12.83,Tofu,8,76
43.86,Peanut Butter,25,588
35.78,Tofu,8,76
5.85,Almonds,21,579
16.36,Beef,27,250
6.56,Greek Yogurt,10,59
21.72,Tofu,8,76
39.47,Salmon,25,208
46.53,Tofu,8,76
16.58,Almonds,21,579
39.73,Tofu,8,76
32.39,Beef,27,250
48.54,Beef,27,250
43.14,Beef,27,250
14.72,Salmon,25,208
34.22,Chicken Breast,31,165
43.5,Almonds,21,579
34.0,Peanut Butter,25,588
36.18,Salmon,25,208
28.95,Greek Yogurt,10,59
26.22,Chicken Breast,31,165
16.74,Greek Yogurt,10,59
31.75,Lentils,9,116
43.82,Lentils,9,116
34.89,Salmon,25,208
10.18,Whey Protein,80,400
21.94,Beef,27,250
44.34,Eggs,13,155
24.21,Tofu,8,76
15.9,Peanut Butter,25,588
17.31,Almonds,21,579
26.08,Chicken Breast,31,165
17.24,Peanut Butter,25,588
39.44,Lentils,9,116
18.44,Beef,27,250
19.18,Whey Protein,80,400
15.09,Lentils,9,116
13.18,Tofu,8,76
22.95,Whey Protein,80,400
32.72,Tofu,8,76
38.87,Beef,27,250
40.72,Lentils,9,116
13.61,Eggs,13,155
24.09,Tofu,8,76
21.84,Chicken Breast,31,165
10.07,Eggs,13,155
32.61,Lentils,9,116
21.49,Chicken Breast,31,165
49.74,Tofu,8,76
26.66,Eggs,13,155
6.08,Almonds,21,579
41.9,Almonds,21,579
31.6,Almonds,21,579
24.61,Almonds,21,579
20.0,Beef,27,250
44.57,Eggs,13,155
23.22,Chicken Breast,31,165
35.0,Peanut Butter,25,588
12.46,Lentils,9,116
37.65,Greek Yogurt,10,59
33.88,Salmon,25,208
5.87,Tofu,8,76
46.09,Eggs,13,155
11.74,Almonds,21,579
37.01,Greek Yogurt,10,59
36.04,Chicken Breast,31,165
17.05,Almonds,21,579
21.52,Chicken Breast,31,165
46.88,Peanut Butter,25,588
20.42,Salmon,25,208
22.59,Greek Yogurt,10,59
43.58,Greek Yogurt,10,59
20.17,Tofu,8,76
20.72,Almonds,21,579
39.47,Peanut Butter,25,588
8.46,Tofu,8,76
14.89,Almonds,21,579
41.58,Tofu,8,76
34.89,Chicken Breast,31,165
45.12,Lentils,9,116
25.22,Chicken Breast,31,165
19.23,Eggs,13,155
33.19,Peanut Butter,25,588
35.2,Chicken Breast,31,165
17.95,Beef,27,250
26.36,Eggs,13,155
27.78,Lentils,9,116
11.06,Tofu,8,76
37.44,Chicken Breast,31,165
19.94,Chicken Breast,31,165
39.86,Tofu,8,76
39.09,Almonds,21,579
13.9,Peanut Butter,25,588
38.32,Salmon,25,208
11.45,Tofu,8,76
26.61,Whey Protein,80,400
43.17,Almonds,21,579
35.57,Eggs,13,155
12.28,Chicken Breast,31,165
31.3,Eggs,13,155
22.98,Almonds,21,579
11.56,Greek Yogurt,10,59
22.61,Greek Yogurt,10,59
42.37,Whey Protein,80,400
40.57,Almonds,21,579
35.55,Salmon,25,208
36.51,Chicken Breast,31,165
46.56,Salmon,25,208
39.08,Tofu,8,76
14.58,Eggs,13,155
19.79,Beef,27,250
45.34,Greek Yogurt,10,59
40.61,Tofu,8,76
27.57,Lentils,9,116
49.22,Whey Protein,80,400
47.92,Salmon,25,208
8.99,Lentils,9,116
17.18,Almonds,21,579
31.71,Peanut Butter,25,588
47.59,Peanut Butter,25,588
41.26,Chicken Breast,31,165
16.67,Tofu,8,76
29.04,Salmon,25,208
46.91,Whey Protein,80,400
31.82,Peanut Butter,25,588
19.49,Almonds,21,579
13.55,Almonds,21,579
45.35,Lentils,9,116
46.97,Almonds,21,579
46.65,Chicken Breast,31,165
33.09,Beef,27,250
44.6,Whey Protein,80,400
14.59,Peanut Butter,25,588
10.31,Peanut Butter,25,588
17.54,Beef,27,250
25.54,Greek Yogurt,10,59
39.49,Peanut Butter,25,588
5.38,Chicken Breast,31,165
13.26,Almonds,21,579
19.58,Almonds,21,579
21.32,Lentils,9,116
40.71,Eggs,13,155
10.33,Peanut Butter,25,588
41.03,Lentils,9,116
40.83,Beef,27,250
25.86,Salmon,25,208
44.07,Beef,27,250
22.24,Greek Yogurt,10,59
41.37,Tofu,8,76
44.8,Whey Protein,80,400
8.09,Peanut Butter,25,588
15.27,Chicken Breast,31,165
44.83,Tofu,8,76
16.17,Greek Yogurt,10,59
49.54,Chicken Breast,31,165
49.72,Tofu,8,76
42.14,Salmon,25,208
11.93,Tofu,8,76
22.42,Eggs,13,155
16.44,Eggs,13,155
7.52,Greek Yogurt,10,59
30.35,Whey Protein,80,400
27.51,Salmon,25,208
10.11,Lentils,9,116
27.7,Greek Yogurt,10,59
6.45,Eggs,13,155
8.94,Tofu,8,76
36.29,Eggs,13,155
12.04,Greek Yogurt,10,59
25.02,Salmon,25,208
47.16,Almonds,21,579
26.73,Whey Protein,80,400
17.67,Eggs,13,155
34.95,Lentils,9,116
28.02,Salmon,25,208
26.33,Whey Protein,80,400
19.46,Almonds,21,579
29.91,Whey Protein,80,400
32.6,Whey Protein,80,400
28.53,Greek Yogurt,10,59
21.4,Almonds,21,579
13.39,Lentils,9,116
24.76,Whey Protein,80,400
17.36,Chicken Breast,31,165
34.69,Peanut Butter,25,588
11.2,Tofu,8,76
19.88,Eggs,13,155
43.07,Peanut Butter,25,588
24.76,Eggs,13,155
31.29,Greek Yogurt,10,59
43.83,Almonds,21,579
5.47,Greek Yogurt,10,59
6.71,Beef,27,250
43.11,Whey Protein,80,400
43.79,Peanut Butter,25,588
49.93,Greek Yogurt,10,59
28.32,Peanut Butter,25,588
15.55,Peanut Butter,25,588
20.56,Tofu,8,76
29.28,Beef,27,250
30.02,Beef,27,250
42.79,Peanut Butter,25,588
40.03,Peanut Butter,25,588
22.74,Salmon,25,208
46.88,Greek Yogurt,10,59
36.14,Greek Yogurt,10,59
49.54,Tofu,8,76
29.94,Beef,27,250
18.5,Almonds,21,579
48.14,Chicken Breast,31,165
27.32,Tofu,8,76
36.8,Tofu,8,76
9.98,Lentils,9,116
6.48,Almonds,21,579
44.68,Eggs,13,155
26.51,Greek Yogurt,10,59
24.96,Beef,27,250
11.66,Eggs,13,155
5.41,Beef,27,250
31.47,Eggs,13,155
20.39,Tofu,8,76
46.2,Almonds,21,579
17.92,Eggs,13,155
23.28,Almonds,21,579
27.42,Eggs,13,155
42.39,Chicken Breast,31,165
34.2,Greek Yogurt,10,59
45.24,Beef,27,250
41.4,Lentils,9,116
34.85,Chicken Breast,31,165
38.25,Peanut Butter,25,588
33.74,Almonds,21,579
47.71,Beef,27,250
14.23,Whey Protein,80,400
19.18,Eggs,13,155
34.96,Almonds,21,579
27.69,Almonds,21,579
9.07,Almonds,21,579
29.55,Eggs,13,155
18.26,Beef,27,250
33.1,Tofu,8,76
49.56,Peanut Butter,25,588
22.83,Chicken Breast,31,165
27.4,Salmon,25,208
23.52,Salmon,25,208
42.43,Eggs,13,155
44.48,Almonds,21,579
10.23,Greek Yogurt,10,59
40.61,Eggs,13,155
18.58,Almonds,21,579
42.44,Beef,27,250
49.35,Chicken Breast,31,165
47.3,Whey Protein,80,400
18.91,Whey Protein,80,400
33.42,Lentils,9,116
48.59,Whey Protein,80,400
38.02,Salmon,25,208
36.65,Chicken Breast,31,165
14.65,Tofu,8,76
31.19,Almonds,21,579
13.56,Eggs,13,155
45.83,Chicken Breast,31,165
21.23,Almonds,21,579
9.55,Peanut Butter,25,588
22.57,Chicken Breast,31,165
9.0,Peanut Butter,25,588
31.17,Eggs,13,155
38.59,Lentils,9,116
42.95,Peanut Butter,25,588
16.87,Lentils,9,116
30.57,Tofu,8,76
13.57,Greek Yogurt,10,59
19.67,Chicken Breast,31,165
5.04,Eggs,13,155
32.71,Whey Protein,80,400
29.72,Eggs,13,155
22.5,Peanut Butter,25,588
9.26,Almonds,21,579
47.86,Tofu,8,76
22.36,Tofu,8,76
12.79,Lentils,9,116
26.2,Chicken Breast,31,165
22.01,Beef,27,250
27.62,Lentils,9,116
40.12,Chicken Breast,31,165
24.19,Whey Protein,80,400
21.71,Tofu,8,76
29.34,Tofu,8,76
14.61,Tofu,8,76
21.1,Tofu,8,76
8.3,Beef,27,250
32.75,Greek Yogurt,10,59
5.52,Chicken Breast,31,165
44.85,Peanut Butter,25,588
32.67,Beef,27,250
22.8,Peanut Butter,25,588
37.71,Chicken Breast,31,165
30.72,Peanut Butter,25,588
45.76,Greek Yogurt,10,59
38.34,Beef,27,250
15.71,Eggs,13,155
35.94,Eggs,13,155
7.31,Lentils,9,116
46.91,Whey Protein,80,400
17.34,Beef,27,250
41.9,Tofu,8,76
27.52,Peanut Butter,25,588
31.53,Beef,27,250
41.82,Almonds,21,579
33.86,Eggs,13,155
33.71,Whey Protein,80,400
8.0,Chicken Breast,31,165
27.29,Whey Protein,80,400
45.83,Tofu,8,76
26.09,Eggs,13,155
29.02,Lentils,9,116
48.69,Almonds,21,579
14.12,Eggs,13,155
9.64,Chicken Breast,31,165
33.99,Almonds,21,579
22.62,Almonds,21,579
20.27,Chicken Breast,31,165
13.86,Beef,27,250
22.1,Peanut Butter,25,588
16.26,Salmon,25,208
45.5,Beef,27,250
32.22,Eggs,13,155
28.49,Eggs,13,155
23.39,Peanut Butter,25,588
14.19,Eggs,13,155
9.86,Beef,27,250
46.76,Tofu,8,76
10.5,Chicken Breast,31,165
21.62,Chicken Breast,31,165
5.01,Beef,27,250
33.62,Peanut Butter,25,588
36.58,Lentils,9,116
23.1,Whey Protein,80,400
41.59,Almonds,21,579
39.65,Tofu,8,76
11.33,Peanut Butter,25,588
9.54,Tofu,8,76
5.95,Eggs,13,155
7.33,Greek Yogurt,10,59
23.53,Lentils,9,116
13.53,Whey Protein,80,400
8.76,Greek Yogurt,10,59
31.27,Lentils,9,116
11.66,Salmon,25,208
28.13,Tofu,8,76
16.37,Greek Yogurt,10,59
44.87,Eggs,13,155
19.0,Tofu,8,76
12.3,Beef,27,250
44.0,Peanut Butter,25,588
30.47,Almonds,21,579
42.35,Lentils,9,116
10.99,Tofu,8,76
33.06,Almonds,21,579
17.15,Tofu,8,76
36.46,Chicken Breast,31,165
7.07,Peanut Butter,25,588
10.62,Lentils,9,116
48.79,Lentils,9,116
21.09,Beef,27,250
27.68,Salmon,25,208
35.81,Chicken Breast,31,165
47.93,Beef,27,250
5.91,Salmon,25,208
5.88,Whey Protein,80,400
47.94,Tofu,8,76
27.52,Salmon,25,208
36.52,Whey Protein,80,400
17.68,Lentils,9,116
37.4,Lentils,9,116
6.11,Salmon,25,208
16.67,Salmon,25,208
25.88,Salmon,25,208
49.32,Beef,27,250
13.31,Greek Yogurt,10,59
20.22,Lentils,9,116
45.44,Peanut Butter,25,588
18.75,Tofu,8,76
39.92,Peanut Butter,25,588
39.88,Whey Protein,80,400
32.68,Tofu,8,76
39.26,Beef,27,250
22.05,Almonds,21,579
43.38,Almonds,21,579
16.31,Whey Protein,80,400
10.53,Chicken Breast,31,165
25.86,Peanut Butter,25,588
31.77,Tofu,8,76
22.39,Chicken Breast,31,165
27.54,Chicken Breast,31,165
22.0,Chicken Breast,31,165
42.81,Salmon,25,208
37.08,Whey Protein,80,400
9.96,Chicken Breast,31,165
5.08,Greek Yogurt,10,59
34.69,Whey Protein,80,400
32.23,Almonds,21,579
41.85,Lentils,9,116
12.85,Eggs,13,155
5.93,Beef,27,250
25.74,Beef,27,250
27.48,Salmon,25,208
34.92,Eggs,13,155
31.99,Greek Yogurt,10,59
6.79,Almonds,21,579
46.3,Beef,27,250
43.15,Whey Protein,80,400
36.51,Peanut Butter,25,588
28.83,Almonds,21,579
26.01,Greek Yogurt,10,59
36.86,Eggs,13,155
12.78,Peanut Butter,25,588
11.91,Eggs,13,155
17.44,Beef,27,250
19.14,Tofu,8,76
20.67,Whey Protein,80,400
22.69,Beef,27,250
48.52,Eggs,13,155
30.5,Chicken Breast,31,165
8.6,Beef,27,250
18.14,Greek Yogurt,10,59
10.61,Greek Yogurt,10,59
28.3,Tofu,8,76
49.19,Tofu,8,76
28.98,Peanut Butter,25,588
16.47,Chicken Breast,31,165
22.12,Tofu,8,76
40.17,Beef,27,250
16.8,Greek Yogurt,10,59
10.04,Greek Yogurt,10,59
32.86,Salmon,25,208
14.1,Eggs,13,155
8.01,Greek Yogurt,10,59
26.21,Beef,27,250
35.16,Whey Protein,80,400
27.47,Eggs,13,155
6.21,Peanut Butter,25,588
16.95,Beef,27,250
6.83,Eggs,13,155
42.16,Salmon,25,208
13.91,Almonds,21,579
38.4,Tofu,8,76
39.28,Greek Yogurt,10,59
40.93,Whey Protein,80,400
47.38,Beef,27,250
31.54,Chicken Breast,31,165
48.8,Chicken Breast,31,165
14.43,Chicken Breast,31,165
43.24,Almonds,21,579
21.63,Peanut Butter,25,588
42.23,Tofu,8,76
13.74,Eggs,13,155
48.16,Whey Protein,80,400
44.38,Greek Yogurt,10,59
20.54,Salmon,25,208
42.49,Lentils,9,116
10.18,Almonds,21,579
38.19,Chicken Breast,31,165
11.73,Eggs,13,155
21.0,Eggs,13,155
13.47,Beef,27,250
23.18,Salmon,25,208
11.04,Chicken Breast,31,165
22.93,Beef,27,250
25.66,Salmon,25,208
30.44,Salmon,25,208
28.25,Peanut Butter,25,588
31.62,Beef,27,250
9.89,Tofu,8,76
39.71,Salmon,25,208
13.98,Eggs,13,155
40.87,Peanut Butter,25,588
44.11,Salmon,25,208
13.82,Peanut Butter,25,588
25.95,Whey Protein,80,400
18.34,Chicken Breast,31,165
44.3,Salmon,25,208
48.67,Salmon,25,208
31.41,Tofu,8,76
7.73,Almonds,21,579
11.51,Chicken Breast,31,165
28.01,Lentils,9,116
41.6,Almonds,21,579
25.93,Beef,27,250
48.64,Peanut Butter,25,588
19.81,Almonds,21,579
27.44,Salmon,25,208
46.94,Salmon,25,208
34.73,Salmon,25,208
8.94,Beef,27,250
17.95,Almonds,21,579
46.27,Eggs,13,155
30.57,Salmon,25,208
45.61,Salmon,25,208
42.52,Eggs,13,155
46.13,Tofu,8,76
28.68,Tofu,8,76
44.56,Tofu,8,76
31.71,Lentils,9,116
39.29,Peanut Butter,25,588
18.62,Eggs,13,155
17.04,Almonds,21,579
26.98,Greek Yogurt,10,59
6.2,Whey Protein,80,400
15.11,Salmon,25,208
25.56,Eggs,13,155
20.97,Almonds,21,579
17.33,Peanut Butter,25,588
39.49,Eggs,13,155
21.02,Beef,27,250
21.75,Peanut Butter,25,588
26.77,Beef,27,250
19.67,Salmon,25,208
24.62,Almonds,21,579
24.2,Tofu,8,76
24.11,Lentils,9,116
17.03,Salmon,25,208
49.92,Salmon,25,208
48.39,Greek Yogurt,10,59
19.72,Beef,27,250
46.82,Eggs,13,155
8.86,Tofu,8,76
38.03,Almonds,21,579
16.03,Peanut Butter,25,588
48.78,Almonds,21,579
15.25,Greek Yogurt,10,59
37.53,Beef,27,250
30.87,Beef,27,250
49.04,Peanut Butter,25,588
5.05,Peanut Butter,25,588
37.7,Whey Protein,80,400
45.01,Lentils,9,116
20.69,Eggs,13,155
31.42,Greek Yogurt,10,59
48.41,Lentils,9,116
48.63,Greek Yogurt,10,59
31.34,Chicken Breast,31,165
44.35,Tofu,8,76
26.34,Peanut Butter,25,588
18.97,Beef,27,250
13.18,Chicken Breast,31,165
10.8,Chicken Breast,31,165
46.89,Eggs,13,155
42.68,Chicken Breast,31,165
42.77,Lentils,9,116
22.16,Whey Protein,80,400
42.88,Lentils,9,116
27.18,Salmon,25,208
18.06,Peanut Butter,25,588
37.75,Tofu,8,76
27.08,Tofu,8,76
9.88,Salmon,25,208
22.95,Eggs,13,155
43.47,Salmon,25,208
47.16,Whey Protein,80,400
23.81,Tofu,8,76
35.89,Beef,27,250
37.31,Eggs,13,155
44.05,Whey Protein,80,400
11.94,Greek Yogurt,10,59
10.31,Salmon,25,208
37.81,Whey Protein,80,400
23.05,Greek Yogurt,10,59
48.25,Eggs,13,155
44.14,Whey Protein,80,400
44.03,Eggs,13,155
39.77,Lentils,9,116
32.94,Salmon,25,208
14.94,Tofu,8,76
23.27,Chicken Breast,31,165
24.45,Salmon,25,208
12.85,Almonds,21,579
45.64,Beef,27,250
35.87,Lentils,9,116
11.54,Peanut Butter,25,588
22.01,Almonds,21,579
34.21,Lentils,9,116
16.15,Eggs,13,155
23.91,Whey Protein,80,400
20.84,Beef,27,250
33.31,Lentils,9,116
9.09,Lentils,9,116
34.49,Peanut Butter,25,588
42.42,Peanut Butter,25,588
17.61,Chicken Breast,31,165
35.45,Lentils,9,116
16.92,Eggs,13,155
20.23,Tofu,8,76
11.44,Salmon,25,208
14.99,Lentils,9,116
9.44,Peanut Butter,25,588
44.35,Chicken Breast,31,165
6.97,Almonds,21,579
14.57,Lentils,9,116
20.62,Lentils,9,116
9.06,Greek Yogurt,10,59
17.73,Peanut Butter,25,588
47.64,Beef,27,250
29.23,Salmon,25,208
43.24,Peanut Butter,25,588
22.44,Salmon,25,208
38.48,Whey Protein,80,400
14.34,Greek Yogurt,10,59
31.03,Beef,27,250
47.16,Almonds,21,579
18.34,Almonds,21,579
6.82,Beef,27,250
16.47,Beef,27,250
48.13,Tofu,8,76
38.78,Eggs,13,155
27.77,Chicken Breast,31,165
8.52,Chicken Breast,31,165
22.72,Whey Protein,80,400
5.1,Salmon,25,208
11.92,Almonds,21,579
25.98,Eggs,13,155
41.63,Peanut Butter,25,588
7.26,Chicken Breast,31,165
15.96,Peanut Butter,25,588
48.75,Tofu,8,76
7.64,Salmon,25,208
5.79,Eggs,13,155
37.13,Beef,27,250
27.97,Whey Protein,80,400
8.05,Peanut Butter,25,588
40.92,Almonds,21,579
7.21,Whey Protein,80,400
48.75,Whey Protein,80,400
15.05,Salmon,25,208
16.64,Almonds,21,579
11.29,Peanut Butter,25,588
8.66,Chicken Breast,31,165
46.22,Chicken Breast,31,165
30.67,Whey Protein,80,400
30.27,Greek Yogurt,10,59
25.79,Almonds,21,579
31.57,Lentils,9,116
33.57,Whey Protein,80,400
48.71,Lentils,9,116
42.6,Tofu,8,76
16.97,Peanut Butter,25,588
22.51,Tofu,8,76
37.84,Eggs,13,155
18.24,Lentils,9,116
34.93,Peanut Butter,25,588
42.76,Almonds,21,579
40.5,Peanut Butter,25,588
19.42,Whey Protein,80,400
9.19,Greek Yogurt,10,59
38.38,Lentils,9,116
7.37,Greek Yogurt,10,59
25.02,Whey Protein,80,400
11.79,Greek Yogurt,10,59
16.26,Whey Protein,80,400
40.9,Almonds,21,579
42.53,Peanut Butter,25,588
15.25,Lentils,9,116
34.1,Lentils,9,116
15.62,Almonds,21,579
16.2,Lentils,9,116
30.79,Beef,27,250
5.78,Almonds,21,579
5.22,Almonds,21,579
22.69,Almonds,21,579
8.62,Peanut Butter,25,588
18.22,Beef,27,250
11.31,Beef,27,250
6.54,Tofu,8,76
5.16,Salmon,25,208
31.36,Whey Protein,80,400
18.92,Greek Yogurt,10,59
48.66,Lentils,9,116
49.79,Greek Yogurt,10,59
38.51,Eggs,13,155
22.23,Peanut Butter,25,588
35.95,Almonds,21,579
16.3,Greek Yogurt,10,59
23.56,Lentils,9,116
18.57,Tofu,8,76
31.74,Greek Yogurt,10,59
42.19,Eggs,13,155
6.65,Lentils,9,116
30.39,Chicken Breast,31,165
15.18,Beef,27,250
45.43,Chicken Breast,31,165
45.53,Lentils,9,116
45.76,Peanut Butter,25,588
37.42,Eggs,13,155
47.54,Beef,27,250
40.52,Whey Protein,80,400
32.19,Peanut Butter,25,588
18.99,Lentils,9,116
42.47,Eggs,13,155
20.03,Greek Yogurt,10,59
37.01,Greek Yogurt,10,59
25.04,Eggs,13,155
36.79,Peanut Butter,25,588
8.82,Almonds,21,579
6.2,Lentils,9,116
6.78,Lentils,9,116
48.61,Salmon,25,208
7.3,Eggs,13,155
23.09,Eggs,13,155
6.97,Beef,27,250
14.27,Chicken Breast,31,165
42.53,Eggs,13,155
41.19,Almonds,21,579
18.48,Peanut Butter,25,588
13.99,Whey Protein,80,400
19.23,Salmon,25,208
10.49,Lentils,9,116
12.41,Lentils,9,116
22.35,Peanut Butter,25,588
29.13,Tofu,8,76
48.66,Peanut Butter,25,588
47.68,Salmon,25,208
26.43,Greek Yogurt,10,59
38.75,Lentils,9,116
17.27,Salmon,25,208
33.86,Whey Protein,80,400
14.26,Almonds,21,579
23.08,Lentils,9,116
30.85,Almonds,21,579
9.37,Beef,27,250
48.53,Salmon,25,208
14.69,Eggs,13,155
38.6,Greek Yogurt,10,59
44.03,Peanut Butter,25,588
12.2,Greek Yogurt,10,59
33.51,Lentils,9,116
23.61,Eggs,13,155
43.24,Tofu,8,76
29.63,Peanut Butter,25,588
35.37,Tofu,8,76
6.87,Tofu,8,76
34.47,Salmon,25,208
24.69,Salmon,25,208
36.99,Almonds,21,579
22.45,Whey Protein,80,400
42.82,Almonds,21,579
25.71,Tofu,8,76
47.27,Salmon,25,208
36.71,Tofu,8,76
39.33,Peanut Butter,25,588
46.94,Salmon,25,208
28.3,Lentils,9,116
27.73,Tofu,8,76
18.43,Eggs,13,155
5.45,Chicken Breast,31,165
49.6,Greek Yogurt,10,59
41.33,Greek Yogurt,10,59
36.98,Whey Protein,80,400
31.01,Tofu,8,76
46.24,Greek Yogurt,10,59
26.74,Eggs,13,155
43.02,Lentils,9,116
40.71,Almonds,21,579
18.95,Lentils,9,116
42.7,Eggs,13,155
19.06,Chicken Breast,31,165
33.04,Chicken Breast,31,165
25.78,Chicken Breast,31,165
28.84,Beef,27,250
21.29,Salmon,25,208
32.43,Almonds,21,579
32.25,Almonds,21,579
46.37,Beef,27,250
5.4,Whey Protein,80,400
41.39,Lentils,9,116
7.26,Peanut Butter,25,588
6.63,Lentils,9,116
38.81,Eggs,13,155
24.23,Whey Protein,80,400
34.2,Salmon,25,208
29.24,Salmon,25,208
44.87,Greek Yogurt,10,59
24.93,Eggs,13,155
31.74,Whey Protein,80,400
10.17,Almonds,21,579
21.57,Peanut Butter,25,588
36.55,Eggs,13,155
30.13,Tofu,8,76
21.78,Chicken Breast,31,165
46.46,Eggs,13,155
27.25,Tofu,8,76
49.61,Lentils,9,116
24.49,Chicken Breast,31,165
48.84,Chicken Breast,31,165
5.17,Tofu,8,76
15.61,Almonds,21,579
49.36,Eggs,13,155
9.36,Salmon,25,208
9.02,Peanut Butter,25,588
13.88,Lentils,9,116
8.56,Almonds,21,579
13.87,Chicken Breast,31,165
40.5,Salmon,25,208
42.79,Tofu,8,76
12.35,Eggs,13,155
13.34,Almonds,21,579
33.31,Greek Yogurt,10,59
29.23,Greek Yogurt,10,59
6.05,Almonds,21,579
7.85,Lentils,9,116
38.25,Chicken Breast,31,165
13.36,Lentils,9,116
42.69,Eggs,13,155
29.93,Peanut Butter,25,588
36.71,Greek Yogurt,10,59
8.19,Eggs,13,155
35.69,Beef,27,250
34.53,Greek Yogurt,10,59
26.45,Whey Protein,80,400
43.6,Almonds,21,579
33.91,Almonds,21,579
45.89,Salmon,25,208
28.73,Chicken Breast,31,165
8.99,Greek Yogurt,10,59
16.84,Salmon,25,208
43.19,Beef,27,250
48.92,Beef,27,250
37.74,Whey Protein,80,400
25.57,Lentils,9,116
44.29,Peanut Butter,25,588
13.65,Whey Protein,80,400
20.07,Tofu,8,76
49.31,Chicken Breast,31,165
22.26,Whey Protein,80,400
26.02,Tofu,8,76
47.37,Chicken Breast,31,165
17.34,Salmon,25,208
20.06,Peanut Butter,25,588
16.75,Beef,27,250
24.14,Lentils,9,116
8.41,Beef,27,250
28.0,Whey Protein,80,400
28.89,Peanut Butter,25,588
6.9,Tofu,8,76
49.45,Beef,27,250
14.07,Almonds,21,579
44.67,Peanut Butter,25,588
33.68,Beef,27,250
41.6,Beef,27,250
19.41,Greek Yogurt,10,59
40.31,Eggs,13,155
42.68,Greek Yogurt,10,59
26.41,Beef,27,250
8.58,Lentils,9,116
26.97,Salmon,25,208
46.1,Chicken Breast,31,165
38.82,Almonds,21,579
46.95,Tofu,8,76
41.89,Whey Protein,80,400
6.96,Chicken Breast,31,165
22.24,Almonds,21,579
38.7,Almonds,21,579
32.1,Chicken Breast,31,165
12.52,Eggs,13,155
12.99,Lentils,9,116
24.05,Eggs,13,155
36.71,Whey Protein,80,400
17.26,Eggs,13,155
46.61,Tofu,8,76
33.89,Peanut Butter,25,588
37.63,Tofu,8,76
39.09,Almonds,21,579
29.98,Tofu,8,76
20.93,Peanut Butter,25,588
7.27,Peanut Butter,25,588
37.17,Chicken Breast,31,165
45.34,Salmon,25,208
34.3,Almonds,21,579
23.07,Peanut Butter,25,588
37.32,Beef,27,250
7.88,Peanut Butter,25,588
32.01,Beef,27,250
5.37,Almonds,21,579
8.73,Tofu,8,76
34.38,Chicken Breast,31,165
38.49,Tofu,8,76
14.58,Tofu,8,76
24.13,Almonds,21,579
27.29,Eggs,13,155
10.38,Chicken Breast,31,165
14.08,Greek Yogurt,10,59
28.73,Salmon,25,208
8.85,Greek Yogurt,10,59
24.52,Greek Yogurt,10,59
21.54,Lentils,9,116
6.11,Salmon,25,208
41.15,Salmon,25,208
18.75,Lentils,9,116
28.16,Beef,27,250
36.27,Beef,27,250
40.34,Whey Protein,80,400
29.92,Lentils,9,116
24.51,Tofu,8,76
33.67,Almonds,21,579
8.78,Lentils,9,116
43.16,Salmon,25,208
16.45,Salmon,25,208
47.79,Eggs,13,155
21.51,Tofu,8,76
37.58,Whey Protein,80,400
9.28,Salmon,25,208
17.24,Chicken Breast,31,165
11.62,Whey Protein,80,400
39.98,Eggs,13,155
40.17,Whey Protein,80,400
